fundID INTEGER primary key IDENTITY(1,1),projectID INTEGER references projects on delete cascade,agencyAcr VARCHAR(256),cost FLOAT
591,825,Arianespace,200,
592,826,Northrop,40,
593,827,ULA,123,
594,831,ULA,115,
595,832,NASA,450,
596,834,MHI,90,
597,835,NASA,450,
598,836,ISRO,21,
599,840,ULA,109,
600,842,Arianespace,200,
601,843,CASC,64.68,
602,844,ULA,350,
603,848,NASA,450,
604,850,ULA,123,
605,853,CASC,64.68,
606,857,ISRO,47,
607,858,Arianespace,200,
608,859,NASA,450,
609,864,Kosmotras,29,
610,865,ULA,109,
611,866,Kosmotras,29,
612,868,NASA,450,
613,870,CASC,69.7,
614,871,CASC,29.75,
615,872,CASC,29.15,
616,873,Arianespace,200,
617,874,Northrop,40,
618,875,Northrop,40,
619,876,ISRO,21,
620,877,Kosmotras,29,
621,878,CASC,69.7,
622,879,CASC,30.8,
623,880,SpaceX,7,
624,881,Arianespace,200,
625,882,ULA,109,
626,885,CASC,69.7,
627,887,ISRO,25,
628,890,Northrop,40,
629,892,NASA,450,
630,893,Arianespace,200,
631,894,CASC,69.7,
632,896,Boeing,133,
633,900,CASC,64.68,
634,901,Arianespace,200,
635,904,CASC,69.7,
636,905,MHI,90,
637,906,NASA,450,
638,907,CASC,30.8,
639,909,Arianespace,200,
640,910,Eurockot,41.8,
641,911,Kosmotras,29,
642,913,Kosmotras,29,
643,914,ISRO,47,
644,915,NASA,450,
645,916,Boeing,164,
646,920,Arianespace,200,
647,922,Boeing,164,
648,924,CASC,64.68,
649,926,ILS,115,
650,927,Northrop,40,
651,929,Northrop,40,
652,930,SpaceX,8,
653,931,Arianespace,200,
654,936,ILS,153,
655,939,Arianespace,200,
656,945,Eurockot,41.8,
657,947,Northrop,40,
658,948,CASC,29.75,
659,949,VKS RF,41.8,
660,950,Kosmotras,29,
661,951,ILS,109,
662,953,CASC,30.8,
663,954,NASA,450,
664,956,CASC,29.75,
665,961,ISRO,25,
666,964,Northrop,40,
667,966,Northrop,40,
668,967,ILS,130,
669,970,Arianespace,200,
670,975,Boeing,350,
671,976,Arianespace,190,
672,977,ILS,135,
673,979,CASC,30.8,
674,980,VKS RF,48.5,
675,982,CASC,64.68,
676,983,CASC,69.7,
677,984,CASC,29.75,
678,986,ISRO,47,
679,987,CASC,64.68,
680,990,CASC,30.8,
681,992,CASC,30.8,
682,994,Arianespace,190,
683,996,Kosmotras,29,
684,1001,Northrop,45,
685,1005,CASC,30.8,
686,1009,Arianespace,190,
687,1014,CASC,30.8,
688,1020,CASC,69.7,
689,1021,CASC,29.75,
690,1022,Eurockot,41.8,
691,1023,CASC,64.68,
692,1024,Lockheed,35,
693,1025,ISRO,25,
694,1032,Boeing,133,
695,1036,Northrop,40,
696,1038,ILS,135,
697,1040,Eurockot,41.8,
698,1041,Northrop,40,
699,1048,CASC,69.7,
700,1049,ILS,109,
701,1051,ISRO,47,
702,1052,Northrop,40,
703,1059,Boeing,133,
704,1062,Northrop,40,
705,1063,NASA,450,
706,1065,Lockheed,35,
707,1068,Kosmotras,29,
708,1070,MHI,90,
709,1071,Arianespace,200,
710,1074,NASA,450,
711,1075,Boeing,164,
712,1076,CASC,64.68,
713,1077,NASA,450,
714,1081,ISRO,25,
715,1085,ILS,109,
716,1090,Lockheed,35,
717,1091,Eurockot,41.8,
718,1093,NASA,450,
719,1097,CASC,64.68,
720,1100,NASA,450,
721,1104,Eurockot,41.8,
722,1106,NASA,450,
723,1111,Northrop,40,
724,1119,NASA,450,
725,1122,ISRO,25,
726,1128,Northrop,45,
727,1131,MHI,90,
728,1132,NASA,450,
729,1138,NASA,450,
730,1145,NASA,450,
731,1146,ISRO,47,
732,1150,NASA,450,
733,1153,NASA,450,
734,1159,CASC,69.7,
735,1163,NASA,450,
736,1169,CASC,69.7,
737,1173,NASA,450,
738,1174,Northrop,40,
739,1176,Kosmotras,29,
740,1178,Lockheed,35,
741,1180,NASA,450,
742,1186,Northrop,40,
743,1193,Northrop,40,
744,1195,NASA,450,
