spacecraftUsedID INTEGER,projectID INTEGER ,launcherName VARCHAR(256),spacecraftName VARCHAR(256)
672,672,Zenit-3 SL ,Atlantic Bird 7
673,673,H-IIA 202 ,IGS-Optical 4
674,674,Ariane 5 ECA ,Arabsat-5C
675,675,H-IIA 202 ,Michibiki 1
676,676,Delta II 7920H-10C ,GRAIL
677,677,Dnepr ,Sich 2 
678,678,Ariane 5 ECA ,Astra 1N
679,679,Atlas V 551 ,Juno
680,680,Zenit-3 SLBF ,Spektr-R
681,681,Delta IV Medium+ (42) ,GPS IIF-2
682,682,PSLV-XL ,GSAT-12
683,683,Space Shuttle Atlantis ,STS-135
684,684,Minotaur I ,ORS-1
685,685,Safir-1A ,Rasad 1
686,686,Delta II 7320-10C ,SAC-D
687,687,Ariane 5 ECA ,ST-2
688,688,Space Shuttle Endeavour ,STS-134
689,689,Atlas V 401 ,SBIRS GEO-1
690,690,Ariane 5 ECA ,Yahsat 1A
691,691,PSLV-G ,ResourceSat-2 
692,692,Atlas V 411 ,NROL-34
693,693,Delta IV Medium+ (42) ,NROL-27
694,694,Atlas V 501 ,OTV-2
695,695,Minotaur C (Taurus) ,Glory
696,696,Space Shuttle Discovery ,STS-133
697,697,Ariane 5 ES ,Johannes Kepler ATV
698,698,Minotaur I ,NROL-66
699,699,Rokot/Briz KM ,Cosmos 2470
700,700,H-IIB ,HTV-2
701,701,Delta IV Heavy ,NROL-49
702,702,Zenit-3 SLBF ,Elektro-L nâ€ Â­1
703,703,Ariane 5 ECA ,Koreasat 6
704,704,GSLV Mk I ,GSAT-5P
705,705,Falcon 9 v1.0 ,COTS-1
706,706,Ariane 5 ECA ,Intelsat 17
707,707,Delta IV Heavy ,NROL-32
708,708,Minotaur IV ,STP-S26
709,709,Delta II 7420-10C ,COSMO-4
710,710,Ariane 5 ECA ,Eutelsat W3B
711,711,Molniya-M /Block 2BL ,Cosmos 2469
712,712,Minotaur IV ,SBSS
713,713,Atlas V 501 ,NROL-41
714,714,Rokot/Briz KM ,Cosmos 2467
715,715,Atlas V 531 ,AEHF-1
716,716,Ariane 5 ECA ,Nilesat-201
717,717,PSLV-CA ,Cartosat-2B 
718,718,Ariane 5 ECA ,Arabsat-5A
719,719,Shavit-2 ,Ofek-9
720,720,Dnepr ,TanDEM-X
721,721,Dnepr ,Picard 
722,722,Naro-1 ,STSAT-2B
723,723,Falcon 9 v1.0 ,Flight 1
724,724,Rokot/Briz KM ,SERVIS-2
725,725,Delta IV Medium+ (42) ,GPS IIF-1
726,726,Ariane 5 ECA ,Astra 3B  
727,727,Space Shuttle Atlantis ,STS-132
728,728,H-IIA 202 ,Akatsuki
729,729,Soyuz U ,Progress M-05M
730,730,Cosmos-3M (11K65M) ,Cosmos 2463
731,731,Atlas V 501 ,OTV-1
732,732,GSLV Mk II ,GSAT-4
733,733,Dnepr ,CryoSat-2
734,734,Space Shuttle Discovery ,STS-131
735,735,Soyuz FG ,Soyuz TMA-18
736,736,Delta IV Medium+ (42) ,GOES 15
737,737,Atlas V 401 ,SDO
738,738,Space Shuttle Endeavour ,STS-130
739,739,Soyuz U ,Soyuz-U
740,740,Ariane 5 GS ,Helios 2B
741,741,Delta II 7320-10C ,WISE
742,742,Delta IV Medium+ (54) ,WGS-3
743,743,Zenit-3 SLB ,Intelsat 15
744,744,H-IIA 202 ,IGS-Optical 3
745,745,Atlas V 431 ,Intersat 14
746,746,Space Shuttle Atlantis ,STS-129
747,747,Rokot/Briz KM ,SMOS and Proba-2
748,748,Ariane 5 ECA ,NSS-12 
749,749,Ares 1-X ,Ares 1-X Test Flight
750,750,Atlas V 401 ,DMSP-5D3-F18
751,751,Delta II 7920-10C ,WorldView-2
752,752,Ariane 5 ECA ,Amazonas 2 
753,753,Delta II 7920-10C ,STSS Demo
754,754,PSLV-CA ,Oceansat-2 
755,755,H-IIB ,HTV-1
756,756,Atlas V 401 ,PAN
757,757,Space Shuttle Discovery ,STS-128
758,758,Naro-1 ,STSAT-2A
759,759,Ariane 5 ECA ,JCSAT-12 
760,760,Delta II 7925 ,GPS IIRM-8
761,761,Dnepr ,DubaiSat 1 
762,762,Cosmos-3M (11K65M) ,Cosmos 2454
763,763,Space Shuttle Endeavour ,STS-127
764,764,Falcon 1 ,RazakSat
765,765,Rokot/Briz KM ,Cosmos 2451 to 2453
766,766,Ariane 5 ECA ,TerreStar-1
767,767,Delta IV Medium+ (42) ,GOES-O
768,768,Zenit-3 SLB ,MEASAT 3a
769,769,Atlas V 421 ,LRO/LCROSS
770,770,Minotaur I ,TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6
771,771,Ariane 5 ECA ,Herschel Space Observatory 
772,772,Space Shuttle Atlantis ,STS-125
773,773,Delta II 7920-10C ,STSS-ATRR
774,774,Zenit-3 SL ,Sicral-1B
775,775,PSLV-CA ,RISAT-2 
776,776,Unha-2 ,KwangmyÂÂngsÂÂng-2
777,777,Atlas V 421 ,WGS-2
778,778,Delta II 7925 ,GPS IIRM-7
779,779,Rokot/Briz KM ,GOCE
780,780,Space Shuttle Discovery ,STS-119
781,781,Delta II 7925-10L ,Kepler
782,782,Zenit-3 SLB ,Telstar-11N
783,783,Minotaur C (Taurus) ,Orbiting Carbon Observatory
784,784,Ariane 5 ECA ,Hot Bird 10
785,785,Delta II 7320-10C ,NOAA-N Prime
786,786,Safir-1 ,Omid
787,787,Tsyklon-3 ,Koronas Foton
788,788,H-IIA 202 ,Ibuki
789,789,Delta IV Heavy ,NROL-26
790,790,Ariane 5 ECA ,Hot Bird 9 
791,791,Molniya-M /Block 2BL ,Cosmos 2446
792,792,Space Shuttle Endeavour ,STS-126
793,793,Long March 2D ,Shiyan-3 
794,794,Long March 2D ,Shiyan-3 
795,795,Long March 3B/E ,VENESAT 1
796,796,Delta II 7420-10C ,COSMO-3
797,797,Long March 4B ,Shijian-6E 
798,798,PSLV-XL ,Chandrayaan-1
799,799,Pegasus XL ,IBEX
800,800,Dnepr ,THEOS 1
801,801,Falcon 1 ,RatSat
802,802,Long March 2F/G ,Shenzhou 7
803,803,Zenit-3 SL ,Galaxy 19
804,804,Delta II 7420-10C ,GeoEye-1
805,805,Long March 2C/SMA ,Huanjing-1A 
806,806,Dnepr ,RapidEye 1 to 5
807,807,Safir-1 ,Unknown Payload
808,808,Ariane 5 ECA ,Superbird-7 
809,809,Falcon 1 ,Flight 3
810,810,Cosmos-3M (11K65M) ,SAR-Lupe 5
811,811,Zenit-3 SL ,EchoStar XI
812,812,Ariane 5 ECA ,ProtoStar-1 
813,813,Delta II 7320-10C ,Jason-2
814,814,Cosmos-3M (11K65M) ,Orbcomm Satellites
815,815,Ariane 5 ECA ,Skynet 5C 
816,816,Delta II 7920H-10C ,GLAST
817,817,Long March 3B ,ChinaSat 9
818,818,Space Shuttle Discovery ,STS-124
819,819,Long March 4C ,Fengyun-3A
820,820,Rokot/Briz KM ,Cosmos 2437 to 2439
821,821,Zenit-3 SL ,Galaxy 18
822,822,Zenit-3 SLB ,AMOS 3
823,823,PSLV-CA ,Cartosat-2A 
824,824,Long March 3C ,Tianlian I-01
825,825,Ariane 5 ECA ,Star One C2 
826,826,Pegasus XL ,C/NOFS
827,827,Atlas V 421 ,ICO G1
828,828,Cosmos-3M (11K65M) ,SAR-Lupe 4
829,829,Zenit-3 SL ,DirecTV-11
830,830,Delta II 7925 ,GPS IIRM-6
831,831,Atlas V 411 ,NROL-28
