projectID INT,launchMonth VARCHAR(256),flightYear INT,launchLocation VARCHAR(256),countryName VARCHAR(256),missionStatus VARCHAR(256)
310,Oct,2017,SLC-576E Vandenberg AFB California,USA,Success
311,Oct,2017,LC-39A Kennedy Space Center Florida,USA,Success
312,Oct,2017,SLC-41 Cape Canaveral AFS Florida,USA,Success
313,Oct,2017,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
314,Oct,2017,Site 133/3 Plesetsk Cosmodrome,Russia,Success
315,Oct,2017,LC-39A Kennedy Space Center Florida,USA,Success
316,Oct,2017,LA-Y1 Tanegashima Space Center,Japan,Success
317,Oct,2017,SLC-4E Vandenberg AFB California,USA,Success
318,Oct,2017,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
319,Sep,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
320,Sep,2017,LC-3 Xichang Satellite Launch Center,China,Success
321,Sep,2017,Site 200/39 Baikonur Cosmodrome,Kazakhstan,Success
322,Sep,2017,SLC-3E Vandenberg AFB California,USA,Success
323,Sep,2017,Site 200/39 Baikonur Cosmodrome,Kazakhstan,Success
324,Sep,2017,LC-39A Kennedy Space Center Florida,USA,Success
325,Aug,2017,First Launch Pad Satish Dhawan Space Centre,India,Failure
326,Aug,2017,SLC-46 Cape Canaveral AFS Florida,USA,Success
327,Aug,2017,SLC-4E Vandenberg AFB California,USA,Success
328,Aug,2017,Site 43/4 Plesetsk Cosmodrome,Russia,Success
329,Aug,2017,LA-Y1 Tanegashima Space Center,Japan,Success
330,Aug,2017,SLC-41 Cape Canaveral AFS Florida,USA,Success
331,Aug,2017,Site 81/24 Baikonur Cosmodrome,Kazakhstan,Success
332,Aug,2017,LC-39A Kennedy Space Center Florida,USA,Success
333,Aug,2017,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
334,Aug,2017,ELV-1 (SLV) Guiana Space Centre French Guiana,France,Success
335,Jul,2017,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
336,Jul,2017,Imam Khomeini Spaceport Semnan Space Center,Iran,Failure
337,Jul,2017,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Partial Failure
338,Jul,2017,LC-39A Kennedy Space Center Florida,USA,Success
339,Jul,2017,LC-101 Wenchang Satellite Launch Center,China,Failure
340,Jun,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
341,Jun,2017,SLC-4E Vandenberg AFB California,USA,Success
342,Jun,2017,LC-39A Kennedy Space Center Florida,USA,Success
343,Jun,2017,Site 43/4 Plesetsk Cosmodrome,Russia,Success
344,Jun,2017,First Launch Pad Satish Dhawan Space Centre,India,Success
345,Jun,2017,LC-2 Xichang Satellite Launch Center,China,Partial Failure
346,Jun,2017,Site 9401 (SLS-2) Jiuquan Satellite Launch Center,China,Success
347,Jun,2017,Site 31/6 Baikonur Cosmodrome,Kazakhstan,Success
348,Jun,2017,Site 81/24 Baikonur Cosmodrome,Kazakhstan,Success
349,Jun,2017,Second Launch Pad Satish Dhawan Space Centre,India,Success
350,Jun,2017,LC-39A Kennedy Space Center Florida,USA,Success
351,Jun,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
352,Jun,2017,LA-Y1 Tanegashima Space Center,Japan,Success
353,May,2017,Site 43/4 Plesetsk Cosmodrome,Russia,Success
354,May,2017,Rocket Lab LC-1A M?Âhia Peninsula,New Zealand,Failure
355,May,2017,ELS Guiana Space Centre French Guiana,France,Success
356,May,2017,LC-39A Kennedy Space Center Florida,USA,Success
357,May,2017,Second Launch Pad Satish Dhawan Space Centre,India,Success
358,May,2017,ELA-3 Guiana Space Centre French Guiana,France,Success
359,May,2017,LC-39A Kennedy Space Center Florida,USA,Success
360,Apr,2017,LC-201 Wenchang Satellite Launch Center,China,Success
361,Apr,2017,Site 1/5 Baikonur Cosmodrome,Kazakhstan,Success
362,Apr,2017,SLC-41 Cape Canaveral AFS Florida,USA,Success
363,Apr,2017,LC-2 Xichang Satellite Launch Center,China,Success
364,Mar,2017,LC-39A Kennedy Space Center Florida,USA,Success
365,Mar,2017,SLC-37B Cape Canaveral AFS Florida,USA,Success
366,Mar,2017,LA-Y1 Tanegashima Space Center,Japan,Success
367,Mar,2017,LC-39A Kennedy Space Center Florida,USA,Success
368,Mar,2017,ELV-1 (SLV) Guiana Space Centre French Guiana,France,Success
369,Mar,2017,Site 95 Jiuquan Satellite Launch Center,China,Success
